alternatenameid	geonameid	isolanguage	alternate_name	isPreferredName	isShortName
﻿2768816	5558953	post	95518				
2768818	5558953	post	95521				
3024486	5558953	link	http://en.wikipedia.org/wiki/Arcata%2C_California				
7485498	5558953	iata	ACV				
8708125	5558953	ar	أركاتا، هومبولدت، كاليفورنيا				
8708126	5558953	bg	Арката				
8708127	5558953	fa	آرکاتا، کالیفرنیا				
8708128	5558953	ja	アーケータ				
8708129	5558953	new	आर्केटा				
8708130	5558953	sr	Аркејта				
8708131	5558953	zh	阿克塔				
1890559	5558955	icao	KACV				
1890560	5558955	iata	ACV				
5805459	5558955	link	http://en.wikipedia.org/wiki/Arcata-Eureka_Airport				
8146299	5558955	en	Arcata-Eureka Airport				
7546706	5558961	link	http://en.wikipedia.org/wiki/Arcata_Community_Forest				
8083525	5558962	link	http://en.wikipedia.org/wiki/Arcata_Community_Recycling_Center				
3024487	5558963	link	http://en.wikipedia.org/wiki/Arcata_High_School				